Type,Resistive Attack,DiffAttack
noise,-0.35496745,-0.4104095
noise,-0.1394515,-0.17872295
noise,-0.15846762,-0.1908088
noise,-0.7479671,-0.7779982
noise,-0.14579022,-0.17120117
noise,-0.15846759,-0.19080879
noise,-0.012677431,-0.014987528
noise,-0.019016117,-0.021326214
noise,-0.025354832,-0.028819978
noise,-0.012677431,-0.017297626
noise,-0.019016117,-0.022481233
noise,-0.025354832,-0.02766493
noise,-0.019016117,-0.022481248
noise,-0.012677401,-0.017297573
noise,-0.019016117,-0.02479133
noise,-0.025354825,-0.031130038
noise,-0.012677409,-0.014987491
noise,-0.019016117,-0.0213262
noise,-0.012677416,-0.016142547
noise,-0.006338716,-0.008648805
noise,-0.025354803,-0.028819934
noise,-0.04437092,-0.04783605
noise,-0.62119305,-0.6789452
noise,-1.1219507,-1.265176
noise,-0.28524172,-0.29794723
noise,-0.278903,-0.3216396
noise,-0.57682216,-0.58144236
noise,-0.050709605,-0.06457013
noise,-1.4642408,-1.6733035
noise,-0.22819328,-0.31366643
noise,-0.03169346,-0.040933818
noise,-0.08240318,-0.1008839
noise,-0.019016147,-0.020171195
noise,-0.07606447,-0.07952964
noise,-0.20283854,-0.22478434
noise,-0.46272546,-0.48698133
noise,-1.0458863,-1.1105686
noise,-0.6338705,-0.6650566
noise,-0.8303703,-0.8661766
noise,-0.05704844,-0.06282365
noise,-0.012677431,-0.04039845
noise,-0.006338716,-0.007493764
noise,-0.006338716,-0.007493764
noise,-0.006338716,-0.007493764
noise,-0.04437095,-0.0975029
noise,-0.006338716,-0.007493764
noise,-0.006338716,-0.007493764
noise,-0.006338716,-0.007493764
noise,-0.006338716,-0.007493764
noise,-0.006338716,-0.006338716
noise,-0.012677431,-0.01383248
noise,-0.006338716,-0.007493764
noise,-0.006338716,-0.007493764
noise,-0.006338716,-0.007493764
noise,-0.006338716,-0.007493764
noise,-0.006338716,-0.022509307
noise,-0.006338716,-0.007493764
noise,-0.006338716,-0.007493734
noise,-0.22185466,-0.24611056
noise,-0.025354803,-0.0276649
noise,-0.53878987,-0.54803026
noise,-0.04437095,-0.050146163
noise,-0.12677409,-0.13832451
noise,-0.2979191,-0.3602914
noise,-0.006338716,-0.007493764
noise,-0.006338716,-0.007493764
noise,-0.006338716,-0.007493764
noise,-0.006338716,-0.007493764
noise,-0.52611256,-0.5480584
noise,-0.7669832,-0.7727584
noise,-0.8240316,-0.863303
noise,-0.3042578,-0.3285137
noise,-0.28524166,-0.33028835
noise,-0.14579022,-0.17466629
noise,-0.450048,-0.4835442
noise,-0.41201586,-0.42818645
noise,-0.15212893,-0.41778874
noise,-0.012677431,-0.01383248
noise,-0.025354832,-0.026509881
noise,-0.04437095,-0.10096803
noise,-0.019016117,-0.020171165
noise,-0.03169352,-0.03169352
noise,-0.025354832,-0.026509881
noise,-0.006338701,-0.007493749
noise,-0.025354818,-0.026509866
noise,-0.025354832,-0.026509881
noise,-0.006338716,-0.007493764
noise,-0.025354832,-0.026509881
noise,-0.025354832,-0.026509881
noise,-0.019016117,-0.020171165
noise,-0.025354818,-0.026509866
noise,-0.025354832,-0.026509881
noise,-0.025354832,-0.026509881
noise,-0.03803222,-0.040342316
noise,-0.082403064,-0.09279844
noise,-0.04437089,-0.05130118
noise,-0.25354815,-0.26971877
noise,-0.16480637,-0.18097699
